Office No Clean,Office No.,Company Name,Company Number,Has Valid Company Number,Incorporated,Status,SIC Code,Registered Address,Address Suffix,Address Exact Street Match,Office Group Size,Cash At Bank,Net Assets,Turnover,Source,Companies House Overview URL,Companies House Officers URL,Companies House Filing History URL,Primary OSINT Source,Investigative Priority,Risk Tier (Objective),Public Linkage Category,Priority Entity,Manual Review Hypothesis (Unverified),Public Evidence Summary,Public Evidence URLs,Review Notes
615,615.0,Zoomi Group Ltd,,No,,Active,,"Office 615 85 Dunstall Hill, Wolverhampton, WV6 0SR, United Kingdom",United Kingdom,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom
616,616.0,Red Nexus Ltd,,No,,Active,,"Office 616 85 Dunstall Hill, Wolverhampton, WV6 0SR, United Kingdom",United Kingdom,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom
617,617.0,Properties By Jackie Ltd,,No,,Active,,"Office 617 85 Dunstall Hill, Wolverhampton, WV6 0SR, United Kingdom",United Kingdom,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom
618,618.0,Seven Sky Ltd,,No,,Active,,"Office 618 85 Dunstall Hill, Wolverhampton, WV6 0SR, United Kingdom",United Kingdom,Yes,1,Bank,Net Assets,Turnover,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom
619,619.0,Sayed Trading & Electronics Ltd,,No,,Active,,"Office 619 85 Dunstall Hill, Wolverhampton, WV6 0SR, United Kingdom",United Kingdom,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom
620,620.0,Evergreen Tech Online Ltd,,No,,Active,,"Office 620 85 Dunstall Hill, Wolverhampton, WV6 0SR, United Kingdom",United Kingdom,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom
621,621.0,Valux Hub Ltd,,No,,Active,,"Office 621 85 Dunstall Hill, Wolverhampton, WV6 0SR, United Kingdom",United Kingdom,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom
622,622.0,Hashim Technologies Ltd,,No,,Active,,"Office 622 85 Dunstall Hill, Wolverhampton, WV6 0SR, United Kingdom",United Kingdom,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom
623,623.0,Regaltech Consulting Ltd,,No,,Active,,"Office 623 85 Dunstall Hill, Wolverhampton, WV6 0SR, United Kingdom",United Kingdom,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom
624,624.0,Greenwich Global Ltd,,No,,Active,,"Office 624 85 Dunstall Hill, Wolverhampton, WV6 0SR",WV6 0SR,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: WV6 0SR
625,625.0,Abbottabad Ltd,16930345,Yes,2025-12-24,Active,82990,"Office 625, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16930345,https://find-and-update.company-information.service.gov.uk/company/16930345/officers,https://find-and-update.company-information.service.gov.uk/company/16930345/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
626,626.0,Arbiter Growth Limited,,No,,Active,,"Office 626 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row
627,627.0,Brio Global Limited,,No,,Active,,"Office 627 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row
629,629.0,Quarine Ltd,,No,,Active,,"Office 629 85 Dunstall Hill, Wolverhampton, WV6 0SR, United Kingdom",United Kingdom,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom
630,630.0,Naqba Ltd,,No,,Active,,"Office 630 85 Dunstall Hill, Wolverhampton, WV6 0SR, United Kingdom",United Kingdom,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom
631,631.0,Gojra Trading Ltd,,No,,Active,,"Office 631 85 Dunstall Hill, Wolverhampton, WV6 0SR, United Kingdom",United Kingdom,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom
632,632.0,Field Network Solutions Ltd,,No,,Active,,"Office 632 85 Dunstall Hill, Wolverhampton, WV6 0SR, United Kingdom",United Kingdom,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom
633,633.0,Petal Enterprises Ltd,,No,,Active,,"Office 633 85 Dunstall Hill, Wolverhampton, WV6 0SR, United Kingdom",United Kingdom,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom
635,635.0,Echobinary Limited,,No,,Active,,"Office 635 85 Dunstall Hill, Wolverhampton, WV6 0SR, United Kingdom",United Kingdom,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom
636,636.0,OBG Enterprises Limited,,No,,Active,,"Office 636 85 Dunstall Hill, Wolverhampton, WV6 0SR",WV6 0SR,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: WV6 0SR
637,637.0,Omnix Mart Ltd,,No,,Active,,"Office 637 85 Dunstall Hill, Wolverhampton, WV6 0SR, United Kingdom",United Kingdom,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom
638,638.0,Jobhaze Ltd,,No,,Active,,"Office 638 85 Dunstall Hill, Wolverhampton, WV6 0SR, United Kingdom",United Kingdom,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom
639,639.0,Byte Cart Ltd,,No,,Active,,"Office 639 85 Dunstall Hill, Wolverhampton, WV6 0SR, United Kingdom",United Kingdom,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom
640,640.0,Optimize Marketing Ltd,,No,,Active,,"Office 640 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row
641,641.0,Zeppy Ltd,,No,,Active,,"Office 641 85 Dunstall Hill, Wolverhampton, WV6 0SR, United Kingdom",United Kingdom,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom
642,642.0,AKX Commerce Ltd,,No,,Active,,"Office 642 85 Dunstall Hill, Wolverhampton, WV6 0SR, United Kingdom",United Kingdom,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom
643,643.0,Miracle Soft Solutions Ltd,,No,,Active,,"Office 643 85 Dunstall Hill, Wolverhampton, WV6 0SR, United Kingdom",United Kingdom,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom
644,644.0,H Noor Ullah Ltd,,No,,Active,,"Office 644 85 Dunstall Hill, Wolverhampton, WV6 0SR, United Kingdom",United Kingdom,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom
645,645.0,Honey Hush Limited,,No,,Active,,"Office 645, 85 Dunstall Hill, Wolverhampton, WV6 0SR, United Kingdom",United Kingdom,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom
647,647.0,Adil Khalid Ltd,,No,,Active,,"Office 647 85 Dunstall Hill, Wolverhampton, WV6 0SR, United Kingdom",United Kingdom,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom
648,648.0,Prime Aura Careers Ltd,,No,,Active,,"Office 648 85 Dunstall Hill, Wolverhampton, WV6 0SR, United Kingdom",United Kingdom,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom
649,649.0,Nafisa Umar Ltd,,No,,Active,,"Office 649 85 Dunstall Hill, Wolverhampton, WV6 0SR, United Kingdom",United Kingdom,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom
650,650.0,Padel Racket UK Ltd,,No,,Active,,"Office 650 85 Dunstall Hill, Wolverhampton, WV6 0SR, United Kingdom",United Kingdom,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom
651,651.0,Noventra Group Ltd,16935566,Yes,2025-12-30,Active,47910,"Office 651, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/16935566,https://find-and-update.company-information.service.gov.uk/company/16935566/officers,https://find-and-update.company-information.service.gov.uk/company/16935566/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
652,652.0,Xavex Solutions Ltd,,No,,Active,,"Office 652 85 Dunstall Hill, Wolverhampton, WV6 0SR, United Kingdom",United Kingdom,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom
653,653.0,Wornside Ltd,,No,,Active,,"Office 653 85 Dunstall Hill, Wolverhampton, WV6 0SR, United Kingdom",United Kingdom,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom
654,654.0,Landlords Property Checks Ltd,,No,,Active,,"Office 654 85 Dunstall Hill, Wolverhampton, WV6 0SR, United Kingdom",United Kingdom,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom
655,655.0,Ip Core Solutions Labs Ltd,,No,,Active,,"Office 655 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row
656,656.0,Menaramold Ltd,,No,,Active,,"Office 656 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row
658,658.0,Neomart Ltd,,No,,Active,,"Office 658 85 Dunstall Hill, Wolverhampton, WV6 0SR, United Kingdom",United Kingdom,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom
659,659.0,Linkohub Ltd,,No,,Active,,"Office 659 85 Dunstall Hill, Wolverhampton, WV6 0SR, United Kingdom",United Kingdom,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom
660,660.0,Global Internet Promoters Limited,,No,,Active,,"Office 660 85 Dunstall Hill, Wolverhampton, WV6 0SR, United Kingdom",United Kingdom,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom
661,661.0,Big Spectrum Promotions Limited,,No,,Active,,"Office 661 85 Dunstall Hill, Wolverhampton, WV6 0SR, United Kingdom",United Kingdom,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom
663,663.0,Ecomify Group Ltd,,No,,Active,,"Office 663 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row
664,664.0,Salman.Ecom Ltd,,No,,Active,,"Office 664 85 Dunstall Hill, Wolverhampton, WV6 0SR, United Kingdom",United Kingdom,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom
665,665.0,Stream4k Ltd,,No,,Active,,"Office 665 85 Dunstall Hill, Wolverhampton, WV6 0SR, United Kingdom",United Kingdom,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom
666,666.0,Merchvanta Ltd,,No,,Active,,"Office 666, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row
667,667.0,Za Digital Solutions Ltd,,No,,Active,,"Office 667 85 Dunstall Hill, Wolverhampton, WV6 0SR, United Kingdom",United Kingdom,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom
668,668.0,Sufi Solutions Ltd,,No,,Active,,"Office 668 85 Dunstall Hill, Wolverhampton, WV6 0SR, United Kingdom",United Kingdom,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom
669,669.0,Atwoz Media House Ltd,,No,,Active,,"Office 669 85 Dunstall Hill, Wolverhampton, WV6 0SR, United Kingdom",United Kingdom,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom
670,670.0,Navx Ltd,,No,,Active,,"Office 670 85 Dunstall Hill, Wolverhampton, WV6 0SR, United Kingdom",United Kingdom,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom
671,671.0,Arshee Products Ltd,,No,,Active,,"Office 671 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,-,-£178,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row
672,672.0,Ali Raza Digital Ltd,,No,,Active,,"Office 672 85 Dunstall Hill, Wolverhampton, WV6 0SR, United Kingdom",United Kingdom,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom
673,673.0,Eskabon Ltd,,No,,Active,,"Office 673 85 Dunstall Hill, Wolverhampton, WV6 0SR, United Kingdom",United Kingdom,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom
674,674.0,ML Datahouse Limited,,No,,Active,,"Office 674 85 Dunstall Hill, Wolverhampton, WV6 0SR, United Kingdom",United Kingdom,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom
675,675.0,Infinirank Ltd,,No,,Active,,"Office 675 85 Dunstall Hill, Wolverhampton, WV6 0SR, United Kingdom",United Kingdom,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom
676,676.0,Ahraz Ltd,,No,,Active,,"Office 676 85 Dunstall Hill, Wolverhampton, WV6 0SR, United Kingdom",United Kingdom,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom
677,677.0,Cyruvo Ltd,,No,,Active,,"Office 677 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row
678,678.0,Tech Drive Mobilephone & Computers LLC Limited,,No,,Active,,"Office 678 85 Dunstall Hill, Wolverhampton, Staffordshire, WV6 0SR, United Kingdom",United Kingdom,Yes,1,-,"-£4,455",-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom
679,679.0,Ali Ahmad Awan Consultancy Ltd,,No,,Active,,"Office 679 85 Dunstall Hill, Wolverhampton, WV6 0SR, United Kingdom",United Kingdom,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom
680,680.0,New Instant Solution Ltd,,No,,Active,,"Office 680 85 Dunstall Hill, Wolverhampton, West Midlands, WV6 0SR, United Kingdom",United Kingdom,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom
682,682.0,True Card Ltd,,No,,Active,,"Office 682 85 Dunstall Hill, Wolverhampton, WV6 0SR, United Kingdom",United Kingdom,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom
683,683.0,Star Seo Ltd,,No,,Active,,"Office 683 85 Dunstall Hill, Wolverhampton, WV6 0SR, United Kingdom",United Kingdom,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom
684,684.0,The Creative Embroider Ltd,,No,,Active,,"Office 684 85 Dunstall Hill, Wolverhampton, WV6 0SR, United Kingdom",United Kingdom,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom
685,685.0,Atmos Tech Ai Ltd,,No,,Active,,"Office 685 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,Bank,Net Assets,Turnover,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row
686,686.0,Career Amend Ltd,,No,,Active,,"Office 686 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row
687,687.0,Kallus Boss Ltd,,No,,Active,,"Office 687 85 Dunstall Hill, Wolverhampton, WV6 0SR, United Kingdom",United Kingdom,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom
688,688.0,Subhan Solutions Ltd,,No,,Active,,"Office 688 85 Dunstall Hill, Wolverhampton, WV6 0SR, United Kingdom",United Kingdom,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom
689,689.0,Lorivo Limited,,No,,Active,,"Office 689 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row
690,690.0,Burhan Traders Ltd,,No,,Active,,"Office 690 85 Dunstall Hill, Wolverhampton, WV6 0SR",WV6 0SR,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: WV6 0SR
692,692.0,Frat Logistics Ltd,,No,,Active,,"Office 692 85 Dunstall Hill, Wolverhampton, WV6 0SR, United Kingdom",United Kingdom,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom
693,693.0,MTHCH Ltd,,No,,Active,,"Office 693 85 Dunstall Hill, Wolverhampton, WV6 0SR, United Kingdom",United Kingdom,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom
694,694.0,MC Partenope Ortho Ltd,,No,,Active,,"Office 694 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row
695,695.0,Ezone Supply Partners Limited,,No,,Active,,"Office 695 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row
696,696.0,Hand'Sdesire Ltd,,No,,Active,,"Office 696 85 Dunstall Hill, Wolverhampton, WV6 0SR, United Kingdom",United Kingdom,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom
697,697.0,Vlone T-Shirts Limited,,No,,Active,,"Office 697 85 Dunstall Hill, Wolverhampton, WV6 0SR, United Kingdom",United Kingdom,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom
698,698.0,Orivano Ltd,,No,,Active,,"Office 698 85 Dunstall Hill, Wolverhampton, WV6 0SR, United Kingdom",United Kingdom,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom
699,699.0,MF Tykon Ltd,,No,,Active,,"Office 699 85 Dunstall Hill, Wolverhampton, WV6 0SR",WV6 0SR,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: WV6 0SR
700,700.0,Lunevaluxe Ltd,,No,,Active,,"Office 700 85 Dunstall Hill, Wolverhampton, WV6 0SR, United Kingdom",United Kingdom,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom
701,701.0,Pro Internet Tutors Limited,,No,,Active,,"Office 701 85 Dunstall Hill, Wolverhampton, WV6 0SR, United Kingdom",United Kingdom,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom
702,702.0,Max Internet Marketing Limited,,No,,Active,,"Office 702 85 Dunstall Hill, Wolverhampton, WV6 0SR, United Kingdom",United Kingdom,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom
703,703.0,Interlaxy Limited,,No,,Active,,"Office 703 85 Dunstall Hill, Wolverhampton, WV6 0SR, United Kingdom",United Kingdom,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom
705,705.0,Dsmart Ltd,,No,,Active,,"Office 705 85 Dunstall Hill, Wolverhampton, WV6 0SR, United Kingdom",United Kingdom,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom
706,706.0,Execellence Chauffeurs Limited,,No,,Active,,"Office 706 85 Dunstall Hill, Wolverhampton, WV6 0SR, United Kingdom",United Kingdom,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom
707,707.0,Gul Mart Ltd,,No,,Active,,"Office 707 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row
708,708.0,Oppzer Ltd,,No,,Active,,"Office 708 85 Dunstall Hill, Wolverhamton, WV6 0SR, United Kingdom",United Kingdom,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom
709,709.0,Skyton Ltd,,No,,Active,,"Office 709 85 Dunstall Hill, Wolverhampton, WV6 0SR, United Kingdom",United Kingdom,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom
710,710.0,MH Store Ltd,,No,,Active,,"Office 710 85 Dunstall Hill, Wolverhampton, WV6 0SR, United Kingdom",United Kingdom,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom
711,711.0,Sellnex Ltd,,No,,Active,,"Office 711 85 Dunstall Hill, Wolverhampton, WV6 0SR, United Kingdom",United Kingdom,Yes,1,-,-,-,open.endole.co.uk,,,,open.endole.co.uk (no valid company number present),HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom
